Activity type,Duration,From,To,Comment
Eat,2,8/29/18 16:29,8/29/18 18:29,
Work,1.8,8/29/18 14:39,8/29/18 16:29,
Internet,0,8/29/18 14:38,8/29/18 14:39,
Games,1.6,8/29/18 13:00,8/29/18 14:37,
Eat,1,8/29/18 12:00,8/29/18 13:00,
Meetings ,1,8/29/18 11:00,8/29/18 12:00,
Shower,0.4,8/29/18 10:06,8/29/18 10:32,
Work,0.6,8/29/18 9:32,8/29/18 10:06,
Sleep,6.6,8/29/18 2:56,8/29/18 9:32,
Work,2.6,8/29/18 0:21,8/29/18 2:56,
Games,3.4,8/28/18 20:58,8/29/18 0:21,
Chat,1.1,8/28/18 19:50,8/28/18 20:57,
Eat,1.4,8/28/18 18:28,8/28/18 19:49,
Sport,0.5,8/28/18 18:00,8/28/18 18:28,
Meetings ,1.6,8/28/18 16:17,8/28/18 17:52,
Sleep,2.3,8/28/18 13:44,8/28/18 16:03,
Eat,1.6,8/28/18 11:53,8/28/18 13:26,
Shop,0.6,8/28/18 11:17,8/28/18 11:52,
Work,2.4,8/28/18 8:50,8/28/18 11:17,
Sleep,7,8/28/18 1:51,8/28/18 8:50,
Games,3.5,8/27/18 22:18,8/28/18 1:50,
Chat,2.4,8/27/18 19:51,8/27/18 22:17,
Games,3.2,8/27/18 16:38,8/27/18 19:51,
Eat,1.2,8/27/18 15:27,8/27/18 16:38,
Meetings ,1.2,8/27/18 14:17,8/27/18 15:27,
Work,0.9,8/27/18 13:23,8/27/18 14:17,
Work,0.5,8/27/18 12:39,8/27/18 13:06,
Eat,0.9,8/27/18 11:38,8/27/18 12:33,
Internet,1.8,8/27/18 9:51,8/27/18 11:38,
Sleep,9,8/27/18 0:50,8/27/18 9:51,
Games,0,8/27/18 0:50,8/27/18 0:50,
Games,1.1,8/26/18 23:43,8/27/18 0:50,
Chat,0.9,8/26/18 22:46,8/26/18 23:43,
Shower,1.6,8/26/18 21:08,8/26/18 22:46,
Internet,1,8/26/18 20:07,8/26/18 21:08,
Games,4.5,8/26/18 15:34,8/26/18 20:06,
Games,3.6,8/26/18 11:57,8/26/18 15:34,
Games,2.1,8/26/18 9:42,8/26/18 11:51,
Sleep,6.2,8/26/18 3:30,8/26/18 9:42,
Internet,1.5,8/26/18 2:02,8/26/18 3:29,
Games,3.2,8/25/18 22:47,8/26/18 2:01,
Study,6.7,8/25/18 16:05,8/25/18 22:47,
Games,3.4,8/25/18 12:40,8/25/18 16:05,
Eat,1,8/25/18 11:39,8/25/18 12:40,
Games,1.2,8/25/18 10:25,8/25/18 11:39,
Sleep,8.7,8/25/18 1:42,8/25/18 10:25,
Work,2,8/24/18 23:18,8/25/18 1:21,
Study,2.3,8/24/18 21:02,8/24/18 23:18,
Internet,3.8,8/24/18 17:15,8/24/18 21:02,
Internet,0.4,8/24/18 16:49,8/24/18 17:15,
Work,1.2,8/24/18 15:35,8/24/18 16:49,
Internet,1.4,8/24/18 14:08,8/24/18 15:35,
Eat,0.5,8/24/18 13:40,8/24/18 14:08,
Scheduling,0.7,8/24/18 12:57,8/24/18 13:40,
Games,2.1,8/24/18 10:53,8/24/18 12:57,
Work,0.5,8/24/18 10:24,8/24/18 10:53,
Eat,0.5,8/24/18 9:51,8/24/18 10:24,
Sleep,8,8/24/18 1:54,8/24/18 9:51,
Games,2,8/23/18 23:18,8/24/18 1:20,
Study,2.5,8/23/18 20:48,8/23/18 23:18,
Chat,0.8,8/23/18 19:48,8/23/18 20:35,
Sleep,3,8/23/18 16:45,8/23/18 19:48,
Internet,2,8/23/18 14:48,8/23/18 16:45,
Internet,0,8/23/18 14:48,8/23/18 14:48,
Meetings ,2,8/23/18 12:48,8/23/18 14:48,
Games,1.8,8/23/18 11:02,8/23/18 12:48,
Internet,0.4,8/23/18 10:36,8/23/18 11:02,
Shower,0.6,8/23/18 9:59,8/23/18 10:36,
Sleep,7.9,8/23/18 2:07,8/23/18 9:58,
Games,0.8,8/23/18 1:17,8/23/18 2:07,
Internet,8.5,8/22/18 16:48,8/23/18 1:17,
Study,1.9,8/22/18 14:55,8/22/18 16:48,
Eat,0.5,8/22/18 14:22,8/22/18 14:55,
Study,3.9,8/22/18 10:31,8/22/18 14:22,
Eat,0.3,8/22/18 10:15,8/22/18 10:30,
Sleep,10.9,8/21/18 23:21,8/22/18 10:15,
Study,1.9,8/21/18 21:29,8/21/18 23:21,
Sleep,0.4,8/21/18 21:08,8/21/18 21:29,
Study,0.4,8/21/18 20:44,8/21/18 21:08,
Study,4.9,8/21/18 15:45,8/21/18 20:38,
Study,1.3,8/21/18 14:27,8/21/18 15:44,
Study,1.9,8/21/18 12:34,8/21/18 14:27,
Internet,1.5,8/21/18 11:05,8/21/18 12:33,
Eat,0.7,8/21/18 10:23,8/21/18 11:05,
Study,0.2,8/21/18 10:12,8/21/18 10:23,
Sleep,9.4,8/21/18 0:43,8/21/18 10:08,
Internet,0,8/21/18 0:41,8/21/18 0:42,
Games,1.2,8/20/18 23:29,8/21/18 0:42,
Internet,2.8,8/20/18 20:42,8/20/18 23:29,
Chat,1,8/20/18 19:40,8/20/18 20:42,
Eat,1.4,8/20/18 18:14,8/20/18 19:40,
Internet,1.6,8/20/18 16:40,8/20/18 18:14,
Sleep,3.6,8/20/18 13:00,8/20/18 16:37,
Eat,1.1,8/20/18 12:00,8/20/18 13:08,
Meetings ,3.1,8/20/18 8:56,8/20/18 12:00,
Work,1.2,8/20/18 7:42,8/20/18 8:56,
Sleep,5.4,8/20/18 2:16,8/20/18 7:42,
Study,3.8,8/19/18 22:25,8/20/18 2:15,
Study,0.5,8/19/18 21:57,8/19/18 22:25,
Study,5.7,8/19/18 15:47,8/19/18 21:30,
Eat,1.9,8/19/18 13:55,8/19/18 15:47,
Sleep,3.8,8/19/18 10:08,8/19/18 13:55,
Sleep,7.3,8/19/18 2:51,8/19/18 10:08,
Games,0.3,8/19/18 2:33,8/19/18 2:51,
Games,3,8/18/18 23:34,8/19/18 2:33,
Study,4.4,8/18/18 18:56,8/18/18 23:22,
Chat,0.7,8/18/18 18:15,8/18/18 18:56,
Study,0.5,8/18/18 17:44,8/18/18 18:15,
Internet,0.9,8/18/18 16:48,8/18/18 17:43,
Internet,1.1,8/18/18 15:42,8/18/18 16:48,
Internet,3.5,8/18/18 12:11,8/18/18 15:42,
Games,2,8/18/18 10:11,8/18/18 12:11,
Sleep,7.7,8/18/18 2:30,8/18/18 10:11,
Games,2.1,8/18/18 0:22,8/18/18 2:29,
Study,2.7,8/17/18 21:41,8/18/18 0:22,
Study,6.8,8/17/18 14:51,8/17/18 21:40,
Internet,0.9,8/17/18 13:56,8/17/18 14:51,
Eat,1.1,8/17/18 12:49,8/17/18 13:56,
Eat,0.3,8/17/18 12:28,8/17/18 12:49,
Work,1.4,8/17/18 9:45,8/17/18 11:09,
Study,1,8/17/18 8:43,8/17/18 9:44,
Sleep,8.4,8/17/18 0:18,8/17/18 8:43,
Chat,0.9,8/16/18 23:21,8/17/18 0:16,
Study,2.5,8/16/18 20:52,8/16/18 23:21,
Eat,1.3,8/16/18 19:36,8/16/18 20:52,
Sport,1.2,8/16/18 18:27,8/16/18 19:36,
Internet,1.9,8/16/18 16:35,8/16/18 18:27,
Games,1.4,8/16/18 15:10,8/16/18 16:35,
Eat,0.4,8/16/18 14:49,8/16/18 15:10,
Work,1.9,8/16/18 12:54,8/16/18 14:49,
Eat,2,8/16/18 10:52,8/16/18 12:54,
Work,1.8,8/16/18 9:02,8/16/18 10:52,
Sleep,8.2,8/16/18 0:48,8/16/18 9:02,
Games,0.5,8/16/18 0:15,8/16/18 0:42,
Games,0.8,8/15/18 23:24,8/16/18 0:15,
Work,3.9,8/15/18 19:31,8/15/18 23:24,
Games,2.6,8/15/18 16:52,8/15/18 19:29,
Internet,1,8/15/18 15:54,8/15/18 16:51,
Study,1.5,8/15/18 14:21,8/15/18 15:54,
Eat,2.2,8/15/18 12:12,8/15/18 14:21,
Internet,1.1,8/15/18 11:08,8/15/18 12:12,
Study,1,8/15/18 10:09,8/15/18 11:08,
Eat,0.3,8/15/18 9:53,8/15/18 10:09,
Sport,0.4,8/15/18 9:27,8/15/18 9:53,
Sleep,8,8/15/18 1:26,8/15/18 9:27,
Games,0.8,8/15/18 0:37,8/15/18 1:26,
Games,2,8/14/18 22:36,8/15/18 0:37,
Work,0.9,8/14/18 21:20,8/14/18 22:15,
Internet,0.5,8/14/18 20:51,8/14/18 21:20,
Chat,0.2,8/14/18 20:39,8/14/18 20:51,
Scheduling,0.7,8/14/18 19:33,8/14/18 20:15,
Work,0,8/14/18 19:32,8/14/18 19:33,
Shower,0.9,8/14/18 18:35,8/14/18 19:32,
Eat,1,8/14/18 17:35,8/14/18 18:35,
Sport,0.4,8/14/18 17:12,8/14/18 17:35,
Study,0.5,8/14/18 16:41,8/14/18 17:11,
